"","Item.Name","cor","Item.Description"
"64","pctcivlf00",-0.201217596787439,"% in Civilian Labor Force (2000)"
"9","college2",-0.199659543772519,"College and Careers Factor Score"
"120","punemp00",-0.15469844894884,"Percent Unemployed (2000)"
"118","ptransp00",-0.0616049642246011,"Percent Employed in Transportation Related 2000"
"70","phispanic",-0.0219527957410251,"Percentage of Population Hispanic"
"1","agghhinc",0,"Aggregate HH Income"
"2","asian",0,"Asian American"
"3","asianpac",0,"Asian and Pacific American"
"4","avhhinc",0,"Average HH INcome"
"6","black",0,"Black"
"8","civlab00",0,"Civilian Labor Force (2000)"
"10","Counties",0,"County Name"
"11","emp00",0,"Employed (2000)"
"14","gov00",0,"Government Workers (2000)"
"15","hh1per",0,"HH with 1 Person"
"16","hispanic",0,"Hispanic"
"17","ihh0_20",0,"Household Income 0-20K"
"18","ihh10_15k",0,"Income $10-15k"
"19","ihh100_125",0,"Income $100-125k"
"20","ihh125_150",0,"Income $125-150k"
"21","ihh15_20k",0,"Income $15-20k"
"22","ihh150_200",0,"Income $150-200k"
"23","ihh20_25k",0,"Income $20-25k"
"24","ihh20_40",0,"Household Income 20-40K"
"25","ihh200kpls",0,"Income $200k Up"
"26","ihh25_30k",0,"Income $25-30k"
"27","ihh30_35k",0,"Income $30-35k"
"28","ihh35_40k",0,"Income $35-40k"
"29","ihh40_45k",0,"Income $40-45k"
"30","ihh40_60",0,"Household Income 40-60K"
"31","ihh45_50k",0,"Income $45-50k"
"32","ihh50_60k",0,"Income $50-60k"
"33","ihh60_75k",0,"Income $60-75k"
"34","ihh75_100k",0,"Income $75-100k"
"35","ihhunder10",0,"Income Under $10k"
"37","inc2race",0,"Income 2 Races"
"38","incasian",0,"Income Asian"
"39","incblack",0,"Income Black"
"40","inceld65_74",0,"Median Income of Elderly Age 65-74"
"41","inceld75up",0,"Median Income of Elderly Age 75 Up"
"42","incnatamer",0,"Income Native American"
"43","incpacific",0,"Income Pacific Islander"
"44","incwhite",0,"Income White"
"45","inlabf00",0,"Total Labor Force (2000)"
"47","medhhinc",0,"Median Household (HH) Income"
"48","mfg00",0,"Manufacturing (2000)"
"50","military00",0,"Armed Forces (2000)"
"54","mortmonth",0,"Mortgaged mthly costs, Median (dollars) 2000"
"55","natam",0,"Native American"
"56","owners",0,"Owner Occupied Homes"
"85","pop0_4",0,"Age 0-4"
"86","pop0_5",0,"Age 0-5"
"87","pop10_14",0,"Age 10-14"
"88","pop15_19",0,"Age 15-19"
"89","pop20_24",0,"Age 20-24"
"90","pop20_34",0,"Age 20-34"
"91","pop25_29",0,"Age 25-29"
"92","pop30_34",0,"Age 30-34"
"93","pop35_39",0,"Age 35-39"
"94","pop35_49",0,"Age 35-49"
"95","pop40_44",0,"Age 40-44"
"96","pop45_49",0,"Age 45-49"
"97","pop5_9",0,"Age 5-9"
"98","pop50_54",0,"Age 50-54"
"99","pop50_64",0,"Age 50-64"
"100","pop55_59",0,"Age 55-59"
"101","pop6_17",0,"Age 6-17"
"102","pop60_64",0,"Age 69-64"
"103","pop65_69",0,"Age 65-69"
"104","pop65_up",0,"Age 65 and up"
"105","pop70_74",0,"Age 70-74"
"106","pop75_79",0,"Age 75-79"
"107","pop80_84",0,"Age 80-84"
"108","pop85up",0,"Age 85 Up"
"122","renters",0,"Renter Occupied Homes"
"124","statefp",0,"State Fips"
"125","totfam",0,"Total Families"
"126","tothh06",0,"Total HHs 2006"
"127","tothu",0,"Total Housing Units"
"129","tworace",0,"Two Races, Biracial"
"130","unemp00",0,"Unemployed (2000)"
"131","vacant",0,"Vacant Homes"
"132","white",0,"White"
"133","whtnonh",0,"White Non Hispanic"
"84","pnatam",0.0125142127140303,"Percentage of Population Native American"
"78","pihh40_60",0.027359341206326,"Percentage with Household Income 40-60K"
"111","ppop50_64",0.0315117129693116,"Percentage Population ages 50-64"
"68","pfampov00",0.0760826008769965,"Percent of Families Living in Poverty 2000"
"53","mormon2",0.103739202249696,"Mormon Outposts Factor Score"
"116","pself00",0.106777646299971,"Percent Self-Employed 2000"
"121","pwhite",0.134542203356337,"Percentage of Population White"
"112","ppop65_up",0.170088359616349,"Percentage Population ages 65 and up"
"58","pagri00",0.243263761591752,"Percent Employed in Agriculture 2000"
"72","pihh0_20",0.292273087886832,"Percentage with Household Income 0-20K"
"13","evangel2",0.294456502945456,"Evangelical Epicenters Factor Score"
"76","pihh20_40",0.333032265147943,"Percentage with Household Income 20-40K"
"46","medage",0.344890857783545,"Median Age"
"36","immig2",0.377961906953672,"Immigration Nation Factor Score"
"83","pmobilehh00",0.389077654449461,"Percent of Housing Stock=Mobile Homes 2000"
"114","prpres00",0.435733725658021,"Republican Presidential Vote 2000"
"115","prpres04",0.445730814902142,"Republican Presidential Vote 2004"
"61","pbornst00",0.598832849114446,"Percent Born Inside State of Residence 2000"
"81","pmfg00",0.602138301657939,"Percent in Manufacturing (2000)"
